city,country,dst_warsaw_km,co2_kg,percentile,percent_total_co2_kg,cum_co2_kg,percent_cum_total_co2_kg,model_set
Warsaw, Poland,0.0,0.0,0.0,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.004524886877828055,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.00904977375565611,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.013574660633484163,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.01809954751131222,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.02262443438914027,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.027149321266968326,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.03167420814479638,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.03619909502262444,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.04072398190045249,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.04524886877828054,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.049773755656108594,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.05429864253393665,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,Pessimistic
Warsaw, Poland,0.0,0.0,0.06334841628959276,0.0,0.0,0.0,Pessimistic
Nałęczów, Poland,267.87,8.009,0.06787330316742081,3.740284996173411e-05,8.009,3.740284996173411e-05,Pessimistic
Lublin, Poland,306.5535,9.166,0.07239819004524888,4.280615841543949e-05,17.175,8.02090083771736e-05,Pessimistic
Lublin, Poland,306.5535,9.166,0.07692307692307693,4.280615841543949e-05,26.341,0.0001230151667926131,Pessimistic
Amsterdam, Poland,306.685,9.17,0.08144796380090498,4.282483882495964e-05,35.511,0.00016584000561757273,Pessimistic
Białystok, Poland,352.556,10.541,0.08597285067873303,4.9227549187993416e-05,46.05200000000001,0.00021506755480556617,Pessimistic
Toruń, Poland,368.969,11.032,0.09049773755656108,5.1520569456592674e-05,57.084,0.00026658812426215883,Pessimistic
Częstochowa, Poland,410.293,12.268,0.09502262443438914,5.729281599832115e-05,69.352,0.00032388094026047996,Pessimistic
Częstochowa, Poland,410.293,12.268,0.09954751131221719,5.729281599832115e-05,81.62,0.00038117375625880114,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.10407239819004525,7.064463870285328e-05,96.747,0.0004518183949616544,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.1085972850678733,7.064463870285328e-05,111.874,0.0005224630336645076,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.11312217194570136,7.064463870285328e-05,127.00099999999999,0.0005931076723673608,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.11764705882352941,7.064463870285328e-05,142.128,0.0006637523110702142,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.12217194570135746,7.064463870285328e-05,157.255,0.0007343969497730675,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.12669683257918551,7.064463870285328e-05,172.382,0.0008050415884759208,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.13122171945701358,7.064463870285328e-05,187.50900000000001,0.0008756862271787741,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.13574660633484162,7.064463870285328e-05,202.63600000000002,0.0009463308658816275,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.14027149321266968,7.064463870285328e-05,217.76300000000003,0.0010169755045844808,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.14479638009049775,7.064463870285328e-05,232.89000000000004,0.0010876201432873341,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.1493212669683258,7.064463870285328e-05,248.01700000000005,0.0011582647819901874,Pessimistic
Krakow, Poland,505.9191666666666,15.127,0.15384615384615385,7.064463870285328e-05,263.14400000000006,0.0012289094206930408,Pessimistic
Poznań, Poland,556.807,16.649,0.1583710407239819,7.775253452527297e-05,279.79300000000006,0.0013066619552183137,Pessimistic
Gdańsk, Poland,569.256,17.021,0.16289592760180996,7.948981261064756e-05,296.8140000000001,0.0013861517678289614,Pessimistic
Wrocław, Poland,607.394,18.161,0.167420814479638,8.481372932389227e-05,314.9750000000001,0.0014709654971528537,Pessimistic
Miskolc, Hungary,918.743,27.47,0.17194570135746606,0.00012828771237967737,342.44500000000005,0.0015992532095325308,Pessimistic
Prague, Czechia,1034.387,259.939,0.17647058823529413,0.0012139417425650148,602.384,0.0028131949520975455,Pessimistic
Berlin, Germany,1035.7253333333333,260.1943333333333,0.18099547511312217,0.001215134175372718,862.5783333333334,0.004028329127470263,Pessimistic
Berlin, Germany,1035.7253333333333,260.1943333333333,0.18552036199095023,0.001215134175372718,1122.7726666666667,0.005243463302842982,Pessimistic
Berlin, Germany,1035.7253333333333,260.1943333333333,0.19004524886877827,0.001215134175372718,1382.967,0.0064585974782157,Pessimistic
Potsdam, Germany,1080.56,268.757,0.19457013574660634,0.0012551227053522005,1651.7240000000002,0.007713720183567901,Pessimistic
